date,current,predicted
2016-2Q,50937120000000,54400260114703
2016-3Q,47815633000000,55075260318991
2016-4Q,53331740000000,53250805608423
2017-1Q,50547526000000,56474873945132
2017-2Q,61000537000000,54847549420785
2017-3Q,62048901000000,60957152042412
2017-4Q,65978412000000,61569902516206
2018-1Q,60563714000000,63866633162267
2018-2Q,58482658000000,60701836617413
2018-3Q,65459993000000,59485495680495
2018-4Q,59265050000000,63563626298359
2019-1Q,52385546000000,59942790159027
2019-2Q,56127104000000,55921840054422
2019-3Q,62003471000000,58108715450016
2019-4Q,59884760000000,61543349473537
2020-1Q,55325178000000,60304999845849
2020-2Q,52966142000000,57640003689170
2020-3Q,66964160000000,56261188290419
2020-4Q,61551508000000,64442785676127
2021-1Q,65388503000000,61279184982590
2021-2Q,63671585000000,63521841640195
2021-3Q,73979187000000,62518333013454
