bsns_year,quarter,value,previous
2016,2Q,5.093712,4.9782252
2016,3Q,4.7815633,5.093712
2016,4Q,5.333174,4.7815633
2017,1Q,5.0547526,5.333174
2017,2Q,6.1000537,5.0547526
2017,3Q,6.2048901,6.1000537
2017,4Q,6.5978412,6.2048901
2018,1Q,6.0563714,6.5978412
2018,2Q,5.8482658,6.0563714
2018,3Q,6.5459993,5.8482658
2018,4Q,5.926505,6.5459993
2019,1Q,5.2385546,5.926505
2019,2Q,5.6127104,5.2385546
2019,3Q,6.2003471,5.6127104
2019,4Q,5.988476,6.2003471
2020,1Q,5.5325178,5.988476
2020,2Q,5.2966142,5.5325178
2020,3Q,6.696416,5.2966142
2020,4Q,6.1551508,6.696416
2021,1Q,6.5388503,6.1551508
2021,2Q,6.3671585,6.5388503
2021,3Q,7.3979187,6.3671585
